date,new_cases,new_deaths,new_vaccinations,population
2020,347937215.0,7951364.0,40114826.0,10937176206753.0
2021,862343385.0,14727643.0,36474089575.0,11821430868506.0
2022,1499278148.0,4777094.0,13849237750.0,10264701320842.0
