continent,new_cases,new_deaths,new_vaccinations,population
Africa,12384086.0,256869.0,117195515.0,1398812952332.0
Asia,190250650.0,1489187.0,7425129099.0,4779197845916.0
Europe,237517859.0,1971051.0,1282486812.0,819133894041.0
North America,116102968.0,1524618.0,962612266.0,613506196891.0
Oceania,12800695.0,20520.0,69859793.0,44683675049.0
South America,64390290.0,1309427.0,824604102.0,433984466105.0
