location,new_cases,new_deaths,new_vaccinations,population
South Sudan,18325.0,138.0,7489.0,10400252916.0
Spain,13638010.0,116360.0,62965910.0,48367128744.0
Sri Lanka,671417.0,16784.0,33589253.0,22312457300.0
Sudan,63574.0,4980.0,45572.0,45749219200.0
Suriname,81228.0,1392.0,343344.0,602594850.0
Sweden,2618688.0,21113.0,0.0,10728687933.0
Switzerland,4276848.0,14249.0,16470863.0,8679287703.0
Syria,57378.0,3163.0,102423.0,21395109014.0
Taiwan,8034297.0,13562.0,49590151.0,24681878068.0
Tajikistan,17786.0,125.0,124745.0,9226235403.0
Tanzania,40152.0,845.0,0.0,63729312696.0
Thailand,4704547.0,33070.0,127294606.0,74923390080.0
Timor,23317.0,138.0,7881.0,1297035166.0
Togo,39319.0,290.0,0.0,8715969500.0
Tokelau,0.0,0.0,0.0,929463.0
Tonga,16182.0,12.0,0.0,61234791.0
Trinidad and Tobago,184949.0,4257.0,1512567.0,1492766925.0
Tunisia,1147275.0,29267.0,8546232.0,12170774260.0
Turkey,16096413.0,101203.0,149899771.0,83463740544.0
Turkmenistan,0.0,0.0,0.0,3562650458.0
Turks and Caicos Islands,6432.0,36.0,0.0,43942686.0
Tuvalu,163.0,0.0,0.0,6415610.0
Uganda,169578.0,3636.0,704976.0,45737601184.0
Ukraine,5618142.0,118076.0,31551877.0,39145919584.0
United Arab Emirates,1041027.0,2348.0,20138062.0,9629960760.0
United Kingdom,23117984.0,210218.0,148570849.0,68791605784.0
United States,97997388.0,1075052.0,646483451.0,347423682112.0
United States Virgin Islands,0.0,0.0,0.0,81373822.0
Upper middle income,138345708.0,2479550.0,5320287134.0,2594121175100.0
Uruguay,991240.0,7526.0,8675825.0,3340648896.0
Uzbekistan,244878.0,1637.0,15127072.0,33727329152.0
Vanuatu,11994.0,14.0,0.0,239830096.0
Vatican,29.0,0.0,0.0,794264.0
Venezuela,546384.0,5830.0,0.0,27594157500.0
Vietnam,10949749.0,43170.0,140207439.0,100739714256.0
Wales,0.0,0.0,7305099.0,3046370000.0
Wallis and Futuna,3415.0,7.0,0.0,8766576.0
Western Sahara,0.0,0.0,0.0,576005.0
World,633447269.0,6571687.0,12922241781.0,8190432859648.0
Yemen,11946.0,2159.0,0.0,31944388176.0
Zambia,333685.0,4017.0,2517495.0,19437157570.0
Zimbabwe,257899.0,5606.0,10801392.0,15814602291.0
